"","race","age","engnat","gender","hand","source","country","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10"
"63",3,18,2,2,1,1,"NL",1,3,3,4,1,1,1,3,4,5,5,2,5,1,4,4,3,2,1,2,1,5,1,5,1,5,1,3,5,2,2,3,4,4,1,4,4,4,2,1,2,2,4,1,3,1,1,2,5,2
"64",1,26,2,1,1,1,"NL",3,2,5,1,4,3,1,5,5,1,5,1,5,1,5,4,5,5,5,5,1,4,1,5,1,5,3,2,5,5,3,1,5,1,5,2,5,1,5,5,5,1,5,1,4,1,5,1,5,5
"65",3,18,2,2,1,2,"NL",2,4,2,4,2,3,2,4,2,4,5,2,5,1,2,4,5,5,4,5,3,4,4,2,4,3,4,3,3,2,4,1,4,3,4,2,4,2,4,4,5,1,5,2,4,4,5,4,5,5
"66",3,40,2,2,1,1,"NL",4,2,5,1,5,1,5,1,5,1,1,5,2,5,3,1,1,1,2,1,2,4,1,4,2,4,1,4,5,5,5,2,5,2,3,2,4,3,3,4,4,1,5,1,5,1,5,4,4,5
"67",3,29,2,1,1,1,"NL",3,2,3,4,3,4,2,5,1,2,1,3,2,4,1,3,3,2,2,1,2,4,1,4,2,5,2,4,3,3,4,1,4,1,2,2,4,3,4,4,3,1,2,1,4,4,4,2,4,4
"68",3,21,2,1,1,1,"NL",1,4,4,4,3,2,2,4,1,4,1,5,4,2,1,1,4,4,1,4,1,5,1,5,1,5,1,5,5,5,2,2,5,2,2,2,2,3,2,5,5,1,5,1,4,2,5,5,3,4
"69",3,16,2,1,1,1,"NL",2,3,4,3,2,2,4,4,4,4,3,4,3,4,1,1,3,3,2,2,2,4,3,5,2,4,2,5,4,5,3,4,4,4,2,2,3,3,3,4,4,2,3,4,4,1,4,4,4,4
"70",3,21,2,1,1,5,"NL",2,5,4,3,3,3,2,3,3,3,2,5,2,2,2,1,2,2,2,2,5,1,2,2,4,2,4,3,2,3,4,4,4,4,2,4,2,3,2,3,3,1,5,1,4,1,5,2,5,4
"71",3,45,2,1,1,5,"NL",4,1,5,3,5,1,4,2,3,2,4,3,5,1,4,4,4,3,4,3,1,5,2,5,1,5,1,4,5,4,4,1,4,3,1,1,3,4,3,3,5,2,4,1,4,1,4,5,5,5
"72",1,26,2,2,1,1,"NL",2,3,5,4,5,2,5,4,3,2,3,4,4,2,2,4,4,3,3,2,1,4,1,5,2,3,1,5,4,4,2,3,2,4,2,2,4,2,3,4,2,2,4,1,4,1,3,1,5,3
"73",3,43,2,1,1,1,"NL",3,4,3,2,4,3,1,4,4,4,3,3,4,2,4,3,3,3,2,4,2,5,1,5,1,5,1,4,4,5,3,4,3,4,2,4,4,2,4,4,3,1,4,1,4,2,5,4,5,4
"74",3,18,2,2,1,2,"NL",3,3,3,3,4,2,4,3,3,3,4,1,5,1,4,4,4,4,4,5,1,4,4,4,1,4,1,5,3,3,2,1,5,2,2,1,4,1,4,4,5,1,5,2,5,1,4,3,5,4
"75",1,14,2,2,1,1,"NL",2,4,3,4,2,3,2,3,2,5,3,3,4,3,3,4,3,2,2,2,4,4,2,4,3,4,2,3,2,2,2,3,4,3,2,2,5,3,2,3,3,2,4,3,3,3,4,3,3,3
"76",3,16,2,2,2,1,"NL",1,4,2,4,2,4,3,5,1,5,4,2,5,1,2,5,5,5,3,4,5,4,1,4,1,5,1,5,4,4,3,2,4,2,2,1,5,3,4,3,2,4,5,5,3,1,5,1,1,5
"77",3,21,1,1,3,5,"NL",1,4,1,3,2,3,1,4,1,5,5,1,4,1,4,5,4,4,3,5,3,3,1,3,3,4,3,4,4,3,3,2,5,3,2,4,3,3,2,4,5,1,5,1,5,1,5,5,5,5
"78",3,22,1,2,1,2,"NL",4,2,4,2,5,2,5,2,5,2,4,2,5,2,3,4,4,4,4,4,2,4,1,4,2,3,2,3,4,3,3,2,5,2,2,1,5,2,3,3,4,2,4,2,3,2,4,2,4,3
"79",3,21,1,1,1,1,"NL",4,2,4,2,4,2,4,3,4,3,4,4,3,4,2,2,2,2,3,2,2,5,2,4,2,5,2,4,4,3,3,4,4,3,4,2,4,2,2,3,4,2,4,2,3,2,4,3,4,4
"80",3,19,2,2,1,3,"NL",4,2,4,2,5,2,4,5,2,2,5,2,5,2,4,1,2,4,5,2,5,5,2,5,2,4,2,5,5,5,4,1,2,3,4,2,4,1,1,2,2,2,4,2,4,2,4,1,4,3
"81",3,48,2,1,1,5,"NL",4,1,5,1,5,1,5,3,5,2,2,4,3,4,2,1,1,3,1,4,2,5,1,4,1,3,1,5,5,5,4,3,4,2,4,1,3,1,4,4,5,1,5,1,5,1,4,4,5,5
"82",13,18,2,2,1,2,"NL",1,5,3,5,2,5,2,5,1,5,3,3,4,2,2,4,4,4,4,4,3,2,3,3,5,3,4,3,3,3,3,2,4,2,4,3,4,2,3,3,4,3,5,3,4,1,5,4,4,5
"83",11,33,2,2,1,1,"NL",4,2,4,3,5,2,4,4,2,2,4,2,4,2,4,4,4,3,4,4,1,5,4,4,1,4,1,5,4,5,4,4,4,5,2,5,3,3,2,4,5,4,5,2,3,1,4,2,5,3
"84",3,20,2,1,1,1,"NL",4,2,4,2,4,2,4,2,4,2,2,4,3,4,2,4,2,2,2,2,2,4,2,4,2,3,2,3,4,4,4,3,3,2,4,2,4,2,3,4,3,2,3,3,4,2,4,3,4,3
"85",3,24,2,1,1,1,"NL",2,3,2,4,4,4,2,4,2,4,3,2,4,2,2,2,4,4,2,4,2,4,1,4,2,4,1,4,4,4,2,2,4,2,2,2,4,2,3,2,4,2,4,2,3,2,4,4,4,4
"86",3,28,2,1,1,2,"NL",2,3,3,3,4,2,2,3,4,4,2,4,4,4,4,3,2,2,3,2,3,3,3,4,3,4,2,4,4,4,3,1,4,2,3,2,4,3,3,3,4,2,4,2,4,2,4,3,4,4
"87",3,36,1,1,1,5,"NL",1,5,2,4,4,4,2,5,2,4,4,1,4,1,2,4,4,4,4,5,2,3,3,4,2,4,3,4,4,2,1,5,4,4,1,5,4,3,2,4,5,2,4,2,4,2,4,4,4,4
"88",11,18,2,1,1,1,"NL",3,3,5,4,4,3,2,3,4,4,1,5,5,3,3,2,2,2,1,3,5,5,2,5,1,3,1,3,4,3,4,2,5,3,4,2,3,2,3,3,3,3,3,1,3,2,4,3,3,5
"89",3,37,2,2,1,1,"NL",2,1,4,2,3,1,5,5,1,2,2,3,5,4,3,2,5,4,2,4,1,5,1,5,1,5,1,5,5,5,3,5,5,5,2,5,1,3,1,4,5,3,5,1,5,1,4,5,5,5
"90",3,22,2,1,3,1,"NL",1,4,2,4,2,2,1,2,2,5,2,5,4,5,2,2,1,1,2,1,2,2,1,4,2,3,3,4,3,3,5,1,4,1,5,1,4,1,5,4,4,2,4,3,4,2,5,2,4,4
"91",3,37,1,2,1,1,"NL",3,2,4,2,4,2,3,2,4,2,2,4,4,4,2,2,2,1,3,2,1,4,1,2,2,4,2,4,4,4,4,3,4,1,2,1,5,2,4,4,3,4,4,4,3,2,4,3,4,3
"92",3,26,2,1,1,1,"NL",3,1,5,1,5,1,5,1,5,2,2,4,2,4,2,2,2,1,3,2,1,5,1,5,1,3,1,4,4,5,4,4,4,2,3,2,4,2,3,4,5,1,5,1,4,1,4,3,4,5
"93",4,16,2,1,1,1,"NL",3,3,4,5,5,4,3,5,1,3,2,5,3,1,4,3,3,3,3,3,3,1,1,4,3,4,3,3,3,4,2,4,5,2,1,1,3,3,3,4,4,3,1,4,4,2,5,3,3,4
"94",3,20,2,2,1,1,"NL",1,4,2,5,2,2,1,5,1,5,4,2,5,5,4,5,4,3,4,4,1,3,1,5,2,5,4,4,5,4,2,3,4,5,2,2,4,4,3,3,4,3,5,4,3,1,5,3,4,5
"95",11,18,2,2,1,1,"NL",3,3,2,2,4,3,3,3,2,3,4,2,5,3,3,4,2,2,2,4,1,4,1,4,1,4,1,3,4,3,4,2,4,2,2,1,2,2,2,4,2,3,1,2,3,2,3,1,4,3
"96",5,24,2,1,1,1,"NL",4,4,1,2,1,1,1,2,2,5,5,2,2,3,5,5,5,5,4,5,2,1,4,4,4,5,5,3,5,3,4,2,1,1,3,4,4,2,4,3,2,5,5,5,4,1,5,5,4,5
"97",3,28,2,1,1,1,"NL",3,4,3,4,2,4,3,3,4,4,1,5,3,4,2,2,1,1,1,1,1,4,1,5,2,3,2,4,3,4,4,4,5,4,3,2,4,3,2,5,5,2,5,2,4,1,5,5,4,5
"98",13,28,2,2,1,1,"NL",4,2,4,2,4,1,4,2,5,1,1,5,2,4,5,2,1,1,2,1,1,4,1,4,1,4,1,4,5,4,1,5,5,3,1,2,5,3,1,5,2,1,5,1,5,1,5,1,2,5
"99",3,23,2,1,1,1,"NL",3,1,4,3,4,1,4,3,4,2,2,4,2,4,2,2,2,1,1,1,2,5,3,4,1,4,1,4,4,4,4,5,4,2,1,4,4,2,1,4,5,1,4,1,5,1,5,4,5,5
"100",3,35,2,1,1,2,"NL",1,4,3,4,3,2,2,4,2,5,4,3,4,2,5,4,4,3,3,3,1,4,1,5,2,4,2,4,4,5,4,3,2,3,3,3,4,2,4,4,5,1,5,1,5,1,5,5,5,5
"101",3,23,2,1,1,1,"NL",1,3,1,4,2,4,1,5,1,4,5,1,3,1,4,4,5,5,5,5,3,2,4,3,4,4,4,2,2,2,2,4,3,4,1,2,4,4,3,2,2,4,5,4,2,1,3,2,4,4
"102",3,46,2,1,1,1,"NL",1,3,3,3,4,2,2,3,4,4,2,4,4,3,3,4,3,3,4,2,4,2,2,3,4,2,4,3,4,4,4,2,4,1,3,3,4,2,3,4,4,1,5,1,5,1,5,4,4,5
"103",4,24,1,2,1,1,"NL",3,2,3,3,4,2,4,4,5,2,1,3,5,2,1,3,2,2,4,4,4,2,3,3,3,5,3,5,4,4,2,5,4,4,2,1,4,3,4,4,3,4,5,1,3,1,4,4,5,4
"104",3,34,2,2,2,1,"NL",4,1,5,1,5,1,5,2,5,1,3,3,4,3,3,3,3,3,3,3,1,5,1,5,2,3,1,4,5,5,4,2,4,2,4,2,4,1,4,4,5,1,5,1,4,1,5,5,4,5
"105",3,27,2,2,1,2,"NL",4,1,4,2,4,2,3,4,5,2,1,5,2,4,1,1,3,1,1,1,3,4,2,4,4,3,2,3,2,3,3,5,3,5,2,4,1,3,2,3,4,1,5,1,5,1,5,4,3,5
"106",3,20,2,2,1,1,"NL",4,1,4,2,5,1,4,2,4,2,4,3,4,1,3,3,4,4,3,5,4,5,3,3,3,3,1,4,3,5,3,4,4,2,3,2,4,3,4,3,4,1,4,1,3,1,4,3,4,5
"107",3,25,2,2,1,1,"NL",1,3,2,4,2,4,2,5,2,4,4,3,5,4,2,3,3,2,4,2,2,4,1,4,3,4,3,4,3,4,5,1,5,2,3,2,5,1,4,4,4,3,4,4,4,2,4,2,5,4
"108",3,25,1,2,1,1,"NL",5,1,5,1,5,1,5,2,4,1,2,4,4,3,5,3,2,3,2,2,1,5,3,5,1,5,1,5,5,5,4,4,5,3,2,3,5,3,4,4,5,1,5,3,4,1,5,5,4,4
"109",3,31,2,1,1,2,"NL",2,3,3,4,2,4,2,4,4,5,2,4,2,4,3,2,2,2,2,2,3,3,2,3,4,3,4,2,2,4,3,3,4,2,2,4,3,4,4,4,4,2,5,4,3,1,4,3,5,4
"110",3,23,2,1,1,2,"NL",3,2,4,1,4,2,3,3,4,2,1,3,4,4,4,2,1,1,3,2,1,4,2,5,2,4,2,4,4,4,3,4,2,4,2,5,3,4,3,3,4,2,4,2,4,2,4,4,4,5
"111",3,27,2,2,1,2,"NL",3,3,3,5,2,1,2,2,4,3,3,3,4,2,4,4,3,3,2,4,4,5,1,5,2,4,2,4,5,5,5,1,5,1,1,1,4,3,1,4,5,1,5,1,5,1,4,5,5,5
"112",3,49,2,1,1,2,"NL",4,2,5,2,4,2,4,1,5,3,1,5,2,5,1,1,1,1,1,1,2,4,3,4,2,3,2,4,4,4,5,1,5,1,4,2,4,3,4,4,5,1,4,2,4,2,5,4,5,4
"113",3,23,2,2,2,2,"NL",3,2,4,2,4,2,2,4,2,3,2,4,4,4,2,1,2,2,2,2,1,4,3,4,1,4,1,3,4,4,4,2,4,1,4,1,5,2,4,4,4,1,4,3,4,1,5,4,4,4
"114",3,26,2,2,1,2,"NL",4,2,4,1,5,1,5,4,4,3,4,2,4,1,4,4,5,5,4,5,1,5,3,5,1,4,1,5,5,5,3,5,3,1,3,4,1,2,3,5,5,1,5,1,4,1,4,5,5,4
