"","race","age","engnat","gender","hand","source","country","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","N1","N2","N3","N4","N5","N6","N7","N8","N9","N10","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","O1","O2","O3","O4","O5","O6","O7","O8","O9","O10"
"60",3,24,2,2,1,1,"FI",3,3,4,4,3,2,2,4,4,4,4,2,4,2,2,4,4,4,4,3,2,4,2,4,2,2,2,4,4,3,3,4,4,4,2,4,4,2,3,2,4,1,4,1,4,1,4,4,4,3
"61",3,22,2,1,1,3,"FI",1,5,1,4,2,3,1,4,1,5,4,2,5,1,4,2,4,4,4,5,2,2,2,5,2,3,4,4,5,4,3,4,4,3,1,5,4,5,2,2,5,1,5,1,2,1,2,4,4,4
"62",3,32,2,1,1,1,"FI",3,4,2,4,3,2,1,4,4,5,3,3,4,2,4,1,4,4,3,4,2,4,2,4,2,4,2,5,4,3,3,4,4,3,2,4,4,2,2,4,4,1,4,1,4,1,3,4,4,5
"63",3,17,2,2,1,1,"FI",1,3,3,4,3,2,3,4,4,5,5,2,4,2,3,3,4,4,5,4,3,5,3,5,1,4,1,4,5,3,4,3,4,3,3,2,5,3,3,4,3,2,4,2,3,4,4,3,2,3
"64",3,40,2,1,1,1,"FI",4,4,3,4,3,3,4,2,2,2,4,3,4,2,4,4,3,2,4,4,1,3,3,4,2,4,2,2,4,4,2,4,4,4,2,4,4,3,4,4,4,1,4,1,4,2,3,4,4,4
"65",3,18,2,2,1,1,"FI",3,1,5,2,4,1,5,4,5,4,4,3,5,1,4,5,5,5,5,5,1,5,2,5,1,4,1,4,5,4,4,4,5,4,3,4,3,2,4,5,5,2,5,3,4,1,4,5,4,4
"66",3,18,2,2,1,2,"FI",2,3,3,4,3,3,2,4,2,4,4,3,4,2,4,3,4,4,2,2,2,4,1,4,2,5,2,4,4,3,3,3,4,3,3,3,3,3,2,4,4,2,3,1,3,2,4,3,4,3
"67",6,31,2,1,2,1,"FI",1,4,2,5,2,5,2,5,1,5,5,4,4,1,3,4,3,3,5,4,2,4,1,5,4,5,4,4,4,3,3,1,2,3,1,1,4,3,2,4,4,3,5,3,3,2,2,4,5,3
"68",3,20,2,2,2,2,"FI",2,2,4,3,5,1,3,2,5,3,2,2,4,1,4,2,3,2,2,3,2,4,2,4,2,3,2,4,3,4,4,3,5,2,2,2,5,5,2,5,5,2,5,3,4,1,5,4,5,2
"69",3,23,2,2,1,5,"FI",3,2,3,2,4,2,3,4,3,2,4,3,4,3,3,3,4,2,4,2,3,4,3,3,3,3,2,4,3,3,3,4,4,3,2,4,4,2,3,3,4,1,4,2,4,2,3,4,3,4
"70",3,48,2,1,1,5,"FI",2,4,2,4,1,2,1,1,2,5,3,3,4,4,2,2,2,1,4,3,3,3,1,3,2,3,3,3,2,4,2,2,5,2,3,2,4,3,4,4,2,2,2,2,4,3,3,3,3,5
"71",3,31,2,1,2,1,"FI",1,5,1,5,1,3,1,5,2,5,5,2,5,1,4,4,2,2,3,4,3,1,1,4,3,4,4,3,1,1,4,1,4,2,2,1,5,2,4,4,2,3,3,2,3,3,3,2,4,3
"72",3,24,2,2,1,1,"FI",2,3,2,4,4,2,2,4,2,4,4,2,4,2,1,2,2,1,2,4,2,4,4,4,3,3,3,4,4,2,4,2,4,4,1,2,4,3,2,3,4,1,4,2,4,2,4,4,4,3
"73",3,18,2,2,1,2,"FI",3,4,3,4,2,3,2,4,3,5,4,3,2,4,4,4,5,3,4,4,4,5,4,5,1,5,1,4,4,3,3,4,5,4,2,5,2,4,1,3,4,1,4,1,4,1,3,3,4,3
"74",3,18,2,2,1,3,"FI",4,1,5,4,5,2,5,3,5,1,2,3,3,5,1,2,4,3,3,2,3,4,3,2,2,2,3,4,4,4,4,2,4,2,4,1,2,2,5,4,4,1,3,3,3,4,5,3,4,3
"75",3,19,2,1,1,1,"FI",1,3,1,5,1,4,1,1,1,5,2,4,1,2,1,1,2,1,1,1,4,1,5,4,5,3,5,3,1,3,3,3,4,3,2,3,2,3,3,4,4,2,5,3,4,1,5,4,4,5
"76",3,39,2,1,1,1,"FI",2,5,1,5,2,5,1,5,1,5,4,4,4,1,2,1,4,4,4,4,2,2,2,5,4,5,4,3,4,2,2,4,4,2,1,2,3,3,2,4,2,2,3,2,4,2,5,4,5,3
"77",3,37,2,1,1,1,"FI",2,1,3,3,4,3,3,3,3,3,4,2,4,2,4,4,3,3,4,2,2,4,3,4,3,3,2,3,4,3,3,1,4,2,3,1,5,2,4,3,4,2,4,3,3,2,3,2,5,3
"78",3,22,2,1,1,1,"FI",3,5,2,5,1,4,2,4,1,5,4,3,3,3,3,3,3,3,2,3,3,3,3,4,2,4,3,3,4,3,3,4,4,3,3,4,2,3,2,4,2,4,3,5,3,3,3,3,3,4
"79",3,17,2,1,1,1,"FI",2,1,5,1,5,1,3,2,4,2,4,2,5,3,1,1,1,1,1,2,1,5,1,5,1,5,1,4,5,4,4,2,5,2,3,2,3,1,5,4,5,1,4,1,5,2,5,5,5,4
"80",3,18,2,2,2,2,"FI",3,2,3,3,5,3,4,2,4,3,5,2,4,2,5,5,4,5,4,4,4,4,3,5,1,5,2,4,5,4,4,5,4,3,2,5,5,4,3,4,5,2,4,3,5,2,4,3,4,3
"81",3,36,2,1,1,2,"FI",2,2,4,4,4,2,4,4,2,2,2,4,3,3,2,2,2,2,2,2,3,4,2,4,2,4,2,2,4,4,2,1,4,2,2,1,4,3,2,4,4,2,4,2,3,2,4,3,4,4
"82",3,16,2,2,1,2,"FI",4,1,4,3,5,2,5,3,4,3,3,3,2,2,4,2,3,3,3,2,5,5,1,5,2,5,2,2,5,4,2,4,4,1,1,1,5,5,3,3,4,2,5,1,4,2,5,3,2,4
"83",13,26,2,2,1,2,"FI",1,4,4,3,4,3,3,2,4,4,5,3,4,3,5,3,5,5,4,3,4,4,1,4,3,4,3,4,4,4,2,1,3,1,1,1,4,3,3,1,3,1,3,1,3,2,2,1,5,3
"84",3,52,2,2,1,1,"FI",2,1,5,2,5,2,5,2,5,2,2,5,2,5,3,1,2,1,3,1,2,2,2,5,2,5,1,4,5,4,4,2,4,1,3,2,4,2,4,4,5,2,4,2,4,1,5,4,5,4
"85",3,15,2,2,1,2,"FI",1,4,4,5,3,2,1,5,1,5,5,2,5,4,3,4,3,3,5,3,4,4,3,4,3,3,4,3,3,3,4,2,5,3,4,2,4,2,4,5,5,1,5,1,5,1,5,5,5,5
"86",3,30,2,2,1,1,"FI",2,3,3,3,2,1,4,4,3,4,4,2,5,1,4,4,5,5,5,5,1,5,1,5,1,4,1,5,5,3,2,1,2,3,1,5,1,1,1,1,4,3,5,1,3,1,3,1,5,4
"87",3,18,1,2,1,1,"FI",1,3,1,4,2,2,1,2,3,5,5,1,5,1,5,5,5,5,5,5,2,4,4,2,4,4,2,2,1,1,3,5,5,5,2,5,4,5,1,1,4,4,5,2,4,1,1,4,5,4
"88",3,15,2,1,1,5,"FI",1,2,5,2,4,2,1,4,2,4,4,2,4,3,4,5,5,4,4,3,2,4,5,4,2,1,1,2,4,3,2,2,4,4,1,5,2,3,5,2,5,5,2,4,5,5,5,5,2,4
"89",3,15,2,1,1,5,"FI",3,1,3,3,3,1,1,5,1,3,1,4,1,5,1,1,3,1,1,1,3,5,5,3,3,3,3,3,3,1,3,3,3,3,3,4,2,3,3,1,5,5,3,5,3,3,5,4,3,3
"90",3,19,2,1,1,1,"FI",1,5,2,3,2,2,1,5,2,4,3,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,3,2,2,4,2,4,4,1,2,5,2,4,4,5,2,4,2,4,2,5,5,4,4
